epoch,10,20,30,40,50,60,70,80,90
1,1018.623435,1270.519336,1247.403224,1275.144562,963.0458448,1124.487498,1021.140211,1247.104761,1330.99905
2,469.9752692,1107.5,1370.996429,847.1909091,1802.230987,688.9699134,2341.443289,1969.074729,1574.236485
3,183.75,976.75,698.5138528,961.733153,1620.278416,1139.156589,2007.351651,2206.022149,954.2226046
4,0,715.3333333,1087.383333,1033.161042,871.6309524,1463.248328,1430.873016,2288.656974,1321.357508
5,195,638.8333333,808.9458333,1408.392729,1171.042532,1539.501046,1244.920878,1328.241402,1946.508297
6,37,1083.638889,783.7619048,543.75,1507.957341,1479.200397,1511.781111,1124.504479,1421.412182
7,139.5,570.8,858.3333333,1059.252083,1598.196032,1352.961976,2081.185487,1939.440244,1151.599953
8,0,1446.666667,987.5916667,1236.708113,1593.515346,1359.089457,991.2664735,1329.077344,1138.460218
9,990.5,0,1228.436508,1121.825595,1130.223649,1127.491667,1775.873832,2777.263984,2196.073119
10,93,237.2777778,860.0761905,1132.892532,887.2916883,1196.789323,1811.474313,1318.445353,1477.854491
